"","Product_code","PriceperKg","d1","week_num"
"139","23000148",155,2022-02-22,"08"
"140","23000148",155,2022-03-01,"09"
"141","23000148",150,2022-03-02,"09"
"142","23000148",154,2022-03-09,"10"
"143","23000148",158,2022-03-16,"11"
"144","23000148",157,2022-03-17,"11"
"145","23000148",165,2022-03-31,"13"
"146","23000148",170,2022-04-07,"14"
"147","23000148",174,2022-04-11,"15"
"148","23000148",176,2022-04-21,"16"
"149","23000148",183,2022-04-28,"17"
"150","23000150",166,2022-01-06,"01"
"151","23000150",167,2022-01-07,"01"
"152","23000150",175,2022-01-13,"02"
"153","23000150",166,2022-01-27,"04"
"154","23000150",161,2022-02-03,"05"
"155","23000150",153,2022-02-10,"06"
"156","23000150",141,2022-02-17,"07"
"157","23000150",120,2022-02-22,"08"
"158","23000150",120,2022-03-01,"09"
"159","23000150",125,2022-03-09,"10"
"160","23000150",124,2022-03-17,"11"
"161","23000150",128,2022-03-31,"13"
"162","23000150",130,2022-04-07,"14"
"163","23000150",132,2022-04-11,"15"
"164","23000150",146,2022-04-21,"16"
"165","23000150",147,2022-04-28,"17"
"166","23000150",148,2022-05-05,"18"
"167","23000151",200,2022-01-06,"01"
"168","23000151",201,2022-01-07,"01"
"169","23000151",209,2022-01-13,"02"
"170","23000151",200,2022-01-27,"04"
"171","23000151",195,2022-02-03,"05"
"172","23000151",187,2022-02-10,"06"
"173","23000151",175,2022-02-17,"07"
"174","23000151",157,2022-02-22,"08"
"175","23000151",157,2022-03-01,"09"
"176","23000151",162,2022-03-09,"10"
"177","23000151",161,2022-03-17,"11"
"178","23000151",165,2022-03-31,"13"
"179","23000151",167,2022-04-07,"14"
"180","23000151",169,2022-04-11,"15"
"181","23000151",185,2022-04-21,"16"
"182","23000151",185,2022-04-28,"17"
"183","23000151",186,2022-05-05,"18"
"184","23000156",9975,2022-01-03,"01"
"185","23000156",95,2022-01-03,"01"
"186","23000156",95,2022-01-07,"01"
"187","23000156",9975,2022-01-07,"01"
"188","23000156",99,2022-01-13,"02"
"189","23000156",10395,2022-01-13,"02"
"190","23000156",10290,2022-01-18,"03"
"191","23000156",98,2022-01-18,"03"
"192","23000156",97,2022-01-21,"03"
"193","23000156",10185,2022-01-21,"03"
"194","23000156",91,2022-01-26,"04"
"195","23000156",9555,2022-01-26,"04"
"196","23000156",87,2022-02-02,"05"
"197","23000156",9135,2022-02-02,"05"
"198","23000156",81,2022-02-03,"05"
"199","23000156",8505,2022-02-03,"05"
"200","23000156",76,2022-02-10,"06"
"201","23000156",7980,2022-02-10,"06"
"202","23000156",7665,2022-02-11,"06"
"203","23000156",73,2022-02-11,"06"
"204","23000156",70,2022-02-13,"06"
"205","23000156",7350,2022-02-13,"06"
"206","23000156",66,2022-02-17,"07"
"207","23000156",6930,2022-02-17,"07"
"208","23000156",6825,2022-02-24,"08"
"209","23000156",65,2022-02-24,"08"
"210","23000156",65,2022-03-01,"09"
"211","23000156",6825,2022-03-01,"09"
"212","23000156",67,2022-03-03,"09"
"213","23000156",7035,2022-03-03,"09"
"214","23000156",70,2022-03-10,"10"
"215","23000156",7350,2022-03-10,"10"
"216","23000156",72,2022-03-17,"11"
"217","23000156",7560,2022-03-17,"11"
"218","23000156",7665,2022-03-25,"12"
"219","23000156",73,2022-03-25,"12"
"220","23000156",6930,2022-03-30,"13"
"221","23000156",66,2022-03-30,"13"
"222","23000156",7035,2022-04-01,"13"
"223","23000156",67,2022-04-01,"13"
"224","23000156",67,2022-04-09,"14"
"225","23000156",7035,2022-04-09,"14"
"226","23000156",7035,2022-04-10,"14"
"227","23000156",67,2022-04-10,"14"
"228","23000156",7035,2022-04-12,"15"
"229","23000156",67,2022-04-12,"15"
"230","23000156",7035,2022-04-17,"15"
"231","23000156",67,2022-04-17,"15"
"232","23000156",7035,2022-04-19,"16"
"233","23000156",67,2022-04-19,"16"
"234","23000156",7035,2022-04-24,"16"
"235","23000156",67,2022-04-24,"16"
"236","23000156",7035,2022-04-27,"17"
"237","23000156",67,2022-04-27,"17"
"238","23000156",67,2022-04-30,"17"
"239","23000156",7035,2022-04-30,"17"
"240","23000158",153,2022-01-06,"01"
"241","23000158",154,2022-01-07,"01"
"242","23000158",149,2022-01-20,"03"
"243","23000158",138,2022-01-27,"04"
"244","23000158",127,2022-02-03,"05"
"245","23000158",114,2022-02-10,"06"
"246","23000158",103,2022-02-17,"07"
"247","23000158",97,2022-02-22,"08"
"248","23000158",97,2022-03-01,"09"
"249","23000158",105,2022-03-09,"10"
"250","23000158",107,2022-03-16,"11"
"251","23000158",106,2022-03-17,"11"
"252","23000158",108,2022-04-07,"14"
"253","23000158",116,2022-04-08,"14"
"254","23000158",120,2022-04-11,"15"
"255","23000158",126,2022-04-21,"16"
"256","23000158",131,2022-04-28,"17"
"257","23000158",136,2022-05-05,"18"
"258","23000159",96,2022-03-09,"10"
"259","23000159",96,2022-03-16,"11"
"260","23000159",95,2022-03-17,"11"
"261","23000159",97,2022-03-18,"11"
"262","23000159",78,2022-03-24,"12"
"263","23000159",78,2022-04-07,"14"
"264","23000159",86,2022-04-08,"14"
"265","23000159",90,2022-04-11,"15"
"266","23000159",96,2022-04-21,"16"
"267","23000159",101,2022-04-28,"17"
"268","23000159",106,2022-05-05,"18"
"269","23000160",43,2022-01-07,"01"
"270","23000160",41,2022-02-03,"05"
"271","23000160",32,2022-02-10,"06"
"272","23000160",28,2022-02-17,"07"
"273","23000160",28,2022-03-01,"09"
"274","23000160",32,2022-03-02,"09"
"275","23000160",40,2022-03-09,"10"
"276","23000160",42,2022-03-16,"11"
"277","23000160",41,2022-03-17,"11"
"278","23000160",43,2022-03-23,"12"
"279","23000160",48,2022-03-31,"13"
"280","23000160",49,2022-04-01,"13"
"281","23000160",53,2022-04-07,"14"
"282","23000165",39,2022-01-06,"01"
"283","23000165",40,2022-01-07,"01"
"284","23000165",35,2022-02-03,"05"
"285","23000165",27,2022-02-10,"06"
"286","23000165",22,2022-02-17,"07"
"287","23000165",22,2022-03-01,"09"
"288","23000165",26,2022-03-02,"09"
"289","23000165",33,2022-03-09,"10"
"290","23000165",35,2022-03-16,"11"
"291","23000165",34,2022-03-17,"11"
"292","23000165",36,2022-03-23,"12"
"293","23000165",38,2022-03-31,"13"
"294","23000165",40,2022-04-07,"14"
"295","23000165",42,2022-04-28,"17"
"296","23000165",46,2022-05-05,"18"
"297","23000167",1,2022-01-07,"01"
"298","23000167",1,2022-03-01,"09"
"299","23000167",0.5,2022-03-16,"11"
"300","23000167",0,2022-03-17,"11"
"301","23000167",1,2022-03-18,"11"
"302","23000167",0.5,2022-03-22,"12"
"303","23000167",1,2022-04-01,"13"
"304","23000168",218,2022-04-24,"16"
"305","23000168",221,2022-04-28,"17"
"306","23000168",224,2022-05-05,"18"
"307","23000169",267,2022-01-06,"01"
"308","23000169",268,2022-01-07,"01"
"309","23000169",283,2022-01-13,"02"
"310","23000169",278,2022-01-27,"04"
"311","23000169",268,2022-02-10,"06"
"312","23000169",265,2022-02-17,"07"
"313","23000169",265,2022-03-01,"09"
"314","23000169",254,2022-03-16,"11"
"315","23000169",253,2022-03-17,"11"
"316","23000169",233,2022-03-23,"12"
"317","23000169",257,2022-04-21,"16"
"318","23000169",261,2022-04-28,"17"
"319","23000169",263,2022-05-05,"18"
"320","23000171",84,2022-01-06,"01"
"321","23000171",85,2022-01-07,"01"
"322","23000171",95,2022-01-13,"02"
"323","23000171",90,2022-01-27,"04"
"324","23000171",87,2022-01-28,"04"
"325","23000171",74,2022-02-03,"05"
"326","23000171",69,2022-02-04,"05"
"327","23000171",66,2022-02-10,"06"
"328","23000171",64,2022-02-17,"07"
"329","23000171",62,2022-02-22,"08"
"330","23000171",62,2022-03-01,"09"
"331","23000171",64,2022-03-09,"10"
"332","23000171",65,2022-03-16,"11"
"333","23000171",64,2022-03-17,"11"
"334","23000171",65,2022-03-23,"12"
"335","23000171",71,2022-03-31,"13"
"336","23000171",75,2022-04-07,"14"
"337","23000171",77,2022-04-11,"15"
"338","23000171",79,2022-04-21,"16"
"339","23000171",76,2022-04-24,"16"
"340","23000172",96,2022-01-07,"01"
"341","23000172",107,2022-01-10,"02"
"342","23000172",135,2022-01-14,"02"
"343","23000172",135,2022-03-01,"09"
"344","23000172",134,2022-03-17,"11"
"345","23000172",141,2022-04-28,"17"
"346","23000175",64,2022-01-07,"01"
"347","23000175",75,2022-01-10,"02"
"348","23000175",85,2022-01-13,"02"
"349","23000175",114,2022-01-14,"02"
"350","23000175",93,2022-02-03,"05"
"351","23000175",87,2022-02-10,"06"
"352","23000175",84,2022-02-17,"07"
"353","23000175",82,2022-02-22,"08"
