สภาวะราคาของชิ้นส่วนหลัก Wk7 (17 - 23.2.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
เนื้อสะโพก,135,132,122,138P/155,159P/220,139,150,,เนื้อสะโพก,136,135,130,155,159,139,170
เนื้อไหล่,125,123,118,138P/155,159P/220,138,150,,เนื้อไหล่,127,120,125,150,145,139,160
สันนอก,140,135,132,193P/201,201,177,150,,สันนอก,141,140,150,193,201,187,180
สันใน,159,130,137,,,,150,,สันใน,168,150,145,259,220,203,190
สันคอ,230,160,166,201,232,222,180,,สันคอ,220,185,190,232,232,219,200
สามชั้น,167,165,166,222,222,202,190,,สามชั้น,166,160,155,220,225,209,180
ซี่โครง,141,130,118,171,171,158,150,,ซี่โครง,139,135,140,175,171,167,150
หมูบด,106,,,170,159,139,130,,หมูบด,118,100,100,169,186,139,130
ขาหมู,64,64,70,100,98,91,90,,ขาหมู,65,60,65,100,100,99,80
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
เนื้อสะโพก,135,145,135,169,170,139,170,,เนื้อสะโพก,135,133,,155,148,139,140
เนื้อไหล่,125,145,135,169,170,130,160,,เนื้อไหล่,130,128,,152,145,138,140
สันนอก,140,155,158,193,201,168,170,,สันนอก,150,145,,160,152,142,150
สันใน,158,170,158,196,190,182,170,,สันใน,150,144,,170,168,161,150
สันคอ,220,200,208,262,232,222,190,,สันคอ,190,175,,202,199,194,180
สามชั้น,160,180,178,213,225,260,190,,สามชั้น,165,155,,185,180,171,160
ซี่โครง,140,120,151,179,171,159,180,,ซี่โครง,148,142,,165,162,157,150
หมูบด,131,135,131,190,186,139,120,,หมูบด,135,135,,160,150,143,150
ขาหมู,61,79,79,100,100,97,80,,ขาหมู,80,72,,90,88,82,80
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
เนื้อสะโพก,136,133,150,155,159,139,170,,เนื้อสะโพก,134,135,135,138,159,139,180
เนื้อไหล่,126,125,145,,,134,140,,เนื้อไหล่,125,130,130,138,159,139,180
สันนอก,140,140,160,,201,159,180,,สันนอก,140,155,155,193,199,169,185
สันใน,140,140,153,,,,180,,สันใน,141,145,153,198,,,185
สันคอ,215,210,210,232,232,210,200,,สันคอ,214,195,195,201,223,219,200
สามชั้น,161,170,180,222,225,169,190,,สามชั้น,160,160,160,231,199,191,190
ซี่โครง,130,136,,171,171,139,150,,ซี่โครง,131,134,135,262,173,157,150
หมูบด,105,,115,167,186,139,,,หมูบด,101,135,125,186,163,140,130
ขาหมู,68,,80,100,100,90,85,,ขาหมู,65,73,67,,,89,85
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
เนื้อสะโพก,135,140,135,138,159,139,170,,เนื้อสะโพก,135,135,135,155,159,139,160
เนื้อไหล่,130,135,135,138,159,139,160,,เนื้อไหล่,130,130,135,,,138,150
สันนอก,140,155,158,193,201,179,170,,สันนอก,140,150,158,193,199,166,160
สันใน,154,170,158,196,190,208,170,,สันใน,155,150,158,259,224,183,170
สันคอ,210,170,208,232,232,217,200,,สันคอ,210,165,208,232,232,221,180
สามชั้น,170,170,178,210,225,209,200,,สามชั้น,170,160,190,222,229,195,180
ซี่โครง,130,130,151,171,171,169,180,,ซี่โครง,130,115,163,171,169,156,140
หมูบด,135,150,131,144,185,139,170,,หมูบด,130,130,155,169,155,139,140
ขาหมู,73,75,79,100,100,98,85,,ขาหมู,80,75,75,100,98,97,95
,,,,,,,,,,,,,,,,
