,,สภาวะราคาของชิ้นส่วนหลัก Wk12 (24-30.3.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,138,135,135,144,146,139,160,,เนื้อสะโพก,140,142,144,150,149,139,160
ไหล่TT,,เนื้อไหล่,132,125,131,144,146,138,150,,เนื้อไหล่,135,130,140,145,140,135,160
สันนอกTT,,สันนอก,130,134,145,180,180,165,160,,สันนอก,133,148,154,160,155,160,180
สันในTT,,สันใน,144,140,147,259,224,188,170,,สันใน,146,145,146,200,200,199,190
สันคอTT,,สันคอ,225,198,170,236,236,225,185,,สันคอ,226,200,204,250,245,223,200
สามชั้นTT,,สามชั้น,157,165,169,205,225,199,185,,สามชั้น,160,180,175,230,225,195,200
ซี่โครงแผ่นTT,,ซี่โครง,125,125,124,169,171,160,155,,ซี่โครง,127,130,135,170,168,165,180
คอหมูย่างTT,,คอหมูย่าง,235,270,258,,,,290,,คอหมูย่าง,236,235,220,280,280,275,250
ไหล่บด,,หมูบด,,,,146,146,139,110,,หมูบด,120,115,125,140,139,139,150
ขาหลังเผาแบ่งคากิ,,ขาหมู,78,80,82,98,89(P),93,90,,ขาหมู,78,65,65,100,99,102,90
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,139,135,128,138,138,139,160,,เนื้อสะโพก,135,125,,145,140,139,140
ไหล่TT,,เนื้อไหล่,133,130,128,138,137,139,160,,เนื้อไหล่,128,122,,142,140,134,140
สันนอกTT,,สันนอก,131,140,150,180,159,151,170,,สันนอก,138,135,,160,160,165,140
สันในTT,,สันใน,144,135,155,175,182,182,170,,สันใน,138,135,,165,165,181,140
สันคอTT,,สันคอ,224,180,215,245,235,225,170,,สันคอ,170,165,,210,200,207,160
สามชั้นTT,,สามชั้น,158,145,165,225,225,202,180,,สามชั้น,155,148,,185,175,203,160
ซี่โครงแผ่นTT,,ซี่โครง,126,125,150,165,163,167,160,,ซี่โครง,145,140,,165,160,170,150
คอหมูย่างTT,,คอหมูย่าง,234,210,185,245,260,281,250,,คอหมูย่าง,220,212,,260,254,249,
ไหล่บด,,หมูบด,139,140,119,146,138,144,120,,หมูบด,130,127,,150,145,146,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,75,82,85,90,72,92,80,,ขาหมู,86,78,,97,95,95,90
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,139,138,145,138,138,138,180,,เนื้อสะโพก,139,135,135,139,146,139,180
ไหล่TT,,เนื้อไหล่,134,133,140,138,138,138,150,,เนื้อไหล่,133,130,130,139,146,139,180
สันนอกTT,,สันนอก,143,140,152,,176,140,180,,สันนอก,141,145,135,193,180,155,180
สันในTT,,สันใน,143,140,148,,,194,180,,สันใน,142,140,140,198,,180,180
สันคอTT,,สันคอ,197,198,205,236,259,210,200,,สันคอ,196,188,190,232,236,225,210
สามชั้นTT,,สามชั้น,158,160,155,225,225,185,180,,สามชั้น,158,160,155,222,199,187,180
ซี่โครงแผ่นTT,,ซี่โครง,125,130,145,171,176,160,180,,ซี่โครง,125,140,125,188,169,160,150
คอหมูย่างTT,,คอหมูย่าง,202,260,,,,283,,,คอหมูย่าง,199,250,220,,,270,220
ไหล่บด,,หมูบด,120,,111,146,145,139,160,,หมูบด,119,130,115,170,146,153,150
ขาหลังเผาแบ่งคากิ,,ขาหมู,75,68,,,89,87,,,ขาหมู,74,75,70,,,89,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
สะโพกTT,,เนื้อสะโพก,140,140,,133,138,132,170,,เนื้อสะโพก,140,135,144,138,138,139,160
ไหล่TT,,เนื้อไหล่,137,135,,133,138,132,170,,เนื้อไหล่,135,130,140,,,138,160
สันนอกTT,,สันนอก,136,145,,180,180,160,170,,สันนอก,132,140,154,180,176,145,170
สันในTT,,สันใน,139,145,,259,,198,170,,สันใน,138,170,146,259,224,190,170
สันคอTT,,สันคอ,224,170,,236,236,221,200,,สันคอ,224,200,204,236,236,215,180
สามชั้นTT,,สามชั้น,160,165,,218,,199,200,,สามชั้น,160,165,174,225,225,185,180
ซี่โครงแผ่นTT,,ซี่โครง,127,130,,185,175,163,165,,ซี่โครง,125,120,147,171,171,158,130
คอหมูย่างTT,,คอหมูย่าง,230,,,315,,305,,,คอหมูย่าง,235,220,232,,,282,190
ไหล่บด,,หมูบด,129,140,,139,138,155,160,,หมูบด,135,140,151,146,138,138,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,85,77,,98,,99,100,,ขาหมู,81,80,77,98,89,90,95
,,,,,,,,,,,,,,,,,,
