สภาวะราคาของชิ้นส่วนหลัก Wk6 (10 - 16.2.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
เนื้อสะโพก,147,145,130,155,170,150,150,,เนื้อสะโพก,146,145,160,170,170,150,160
เนื้อไหล่,141,137,126,155,170,149,150,,เนื้อไหล่,140,138,156,165,165,145,155
สันนอก,152,153,140,193P,201,187,150,,สันนอก,146,158,170,200,200,193,200
สันใน,166,142,145,,,,150,,สันใน,167,145,162,200,210,213,200
สันคอ,234,177,174,201,201,225,180,,สันคอ,226,177,220,220,223,226,220
สามชั้น,179,180,174,222,243,213,190,,สามชั้น,177,170,190,230,239,225,200
ซี่โครง,153,138,126,171,182,165,150,,ซี่โครง,151,145,163,190,182,175,170
หมูบด,115,,,169,186,165,130,,หมูบด,127,138,158,170,186,165,150
ขาหมู,79,72,80,100,104,97,90,,ขาหมู,79,77,75,120,115,123,100
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
เนื้อสะโพก,145,153,160,179,170,150,180,,เนื้อสะโพก,140,138,,160,155,150,150
เนื้อไหล่,140,145,156,179,170,149,170,,เนื้อไหล่,135,132,,158,153,149,150
สันนอก,150,163,170,209,223,182,190,,สันนอก,150,145,,165,160,152,150
สันใน,165,150,170,215,210,196,190,,สันใน,150,148,,190,185,181,150
สันคอ,225,185,220,240,235,225,190,,สันคอ,190,180,,210,205,203,190
สามชั้น,170,180,190,231,243,283,200,,สามชั้น,170,160,,205,200,198,170
ซี่โครง,150,150,163,190,175,180,180,,ซี่โครง,158,140,,178,175,170,150
หมูบด,146,155,167,199,189,185,199,,หมูบด,140,135,,160,155,150,150
ขาหมู,77,90,87,113,105,100,105,,ขาหมู,80,75,,95,90,87,80
หมายเหตุ: เบทาโกร ไทฟู้ด ปรับราคาลงมีผล 11/2/65,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
เนื้อสะโพก,146,139,160,165,170,150,180,,เนื้อสะโพก,145,145,145,165,170,165,180
เนื้อไหล่,141,135,155,160,170,148,170,,เนื้อไหล่,139,140,140,165,170,165,180
สันนอก,150,149,170,,201,189,190,,สันนอก,151,160,155,196,201,205,185
สันใน,150,155,170,259,,198,190,,สันใน,151,150,150,198,,,185
สันคอ,225,195,225,201,201,226,200,,สันคอ,224,200,220,201,223,213,200
สามชั้น,175,168,195,231,239,195,190,,สามชั้น,175,175,175,231,242,217,190
ซี่โครง,145,140,160,182,182,164,150,,ซี่โครง,146,145,145,262,182,175,150
หมูบด,125,125,140,186,186,165,,,หมูบด,120,145,125,186,186,170,130
ขาหมู,84,,80,,,95,85,,ขาหมู,78,75,75,,,101,85
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
เนื้อสะโพก,145,153,180,165,170,150,170,,เนื้อสะโพก,145,135,160,155,170,150,170
เนื้อไหล่,140,149,175,165,170,149,165,,เนื้อไหล่,140,130,156,,,149,160
สันนอก,150,170,190,213,223,189,170,,สันนอก,150,150,170,193,201,180,180
สันใน,165,175,178,259,,218,170,,สันใน,165,150,162,259,230,197,190
สันคอ,210,190,240,201,201,227,210,,สันคอ,235,165,220,213,201,227,190
สามชั้น,185,175,210,243,243,225,210,,สามชั้น,200,160,190,222,239,215,200
ซี่โครง,145,130,185,182,182,170,,,ซี่โครง,140,115,163,171,179,165,150
หมูบด,138,155,ไม่มี,186,186,186,165,,หมูบด,140,130,167,169,186,163,150
ขาหมู,87,80,110,110,104,160,95,,ขาหมู,95,90,87,104,104,99,100
,,,,,,,,,หมายเหตุ: ไทฟู้ด ยังไม่ปรับราคา,,,,,,,
