,,สภาวะราคาของชิ้นส่วนหลัก Wk10 (10-16.3.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,133,130,132,135(P)/142,138,135,150,,เนื้อสะโพก,134,127,125,140,140,135,150
ไหล่TT,,เนื้อไหล่,127,122,128,135(P)/142,138,134,140,,เนื้อไหล่,127,120,125,140,135,130,150
สันนอกTT,,สันนอก,129,135,134,159,155(P)/189,166,160,,สันนอก,130,120,125,195,193,154,180
สันในTT,,สันใน,145,135,142,259,224,182,170,,สันใน,146,140,138,200,200,195,190
สันคอTT,,สันคอ,226,195,170,205(P)/215,235,209,185,,สันคอ,220,178,196,230,232,209,200
สามชั้นTT,,สามชั้น,154,163,172,218,225,199,185,,สามชั้น,154,150,155,225,225,195,190
ซี่โครงแผ่นTT,,ซี่โครง,125,125,124,163(P)/171,158(P)/170,160,150,,ซี่โครง,125,115,120,180,158,179,150
ไหล่บด,,หมูบด,109,,,133(P)/139,138,139,,,หมูบด,114,100,99,140,138,139,120
ขาหลังเผาแบ่งคากิ,,ขาหมู,74,70,78,89(P)/93,89(P)/100,90,90,,ขาหมู,73,65,63,100,99,100,90
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,133,130,135,139,138,135,160,,เนื้อสะโพก,130,121,,142,142,140,135
ไหล่TT,,เนื้อไหล่,126,125,135,138,138,135,160,,เนื้อไหล่,125,118,,145,140,138,135
