สันนอกTT,,สันนอก,129,135,150,158,160,147,170,,สันนอก,135,135,,150,148,145,140
สันในTT,,สันใน,144,150,150,178,180,178,170,,สันใน,135,135,,168,165,160,140
สันคอTT,,สันคอ,218,200,200,249,235,209,170,,สันคอ,170,168,,210,205,203,160
สามชั้นTT,,สามชั้น,154,165,206,200,225,198,180,,สามชั้น,160,145,,185,175,175,160
ซี่โครงแผ่นTT,,ซี่โครง,124,125,150,163,163,164,160,,ซี่โครง,140,135,,165,160,155,150
ไหล่บด,,หมูบด,115,125,139,129,138,139,120,,หมูบด,130,125,,150,145,141,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,73,82,87,86,69,90,80,,ขาหมู,84,78,,,,92,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,132,130,144,149,138,135,180,,เนื้อสะโพก,134,133,135,138,138,129,170
ไหล่TT,,เนื้อไหล่,124,125,138,149,138,134,160,,เนื้อไหล่,125,124,126,138,138,128,170
สันนอกTT,,สันนอก,135,130,152,218,165,140,180,,สันนอก,136,138,135,193,165,147,170
สันในTT,,สันใน,135,130,140,178,,194,180,,สันใน,137,138,135,198,,169,180
สันคอTT,,สันคอ,192,190,202,253,235,210,200,,สันคอ,190,195,190,232,235,219,190
สามชั้นTT,,สามชั้น,151,155,170,218,,174,200,,สามชั้น,152,145,150,222,199,187,170
ซี่โครงแผ่นTT,,ซี่โครง,120,120,145,176,163,155,160,,ซี่โครง,121,125,115,188,166,159,140
ไหล่บด,,หมูบด,110,110,103,139,139,139,160,,หมูบด,111,115,110,170,163,140,130
ขาหลังเผาแบ่งคากิ,,ขาหมู,70,,,93,,94,90,,ขาหมู,67,65,67,,,89,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
สะโพกTT,,เนื้อสะโพก,131,132,,149,138,135,160,,เนื้อสะโพก,130,125,136,133,138,135,150
ไหล่TT,,เนื้อไหล่,126,127,,142,138,134,160,,เนื้อไหล่,125,120,132,,,134,150
สันนอกTT,,สันนอก,131,139,,176,155,152,170,,สันนอก,130,130,146,193,165,145,160
สันในTT,,สันใน,143,140,,265,,196,170,,สันใน,140,130,138,259,199,184,170
สันคอTT,,สันคอ,217,165,,215,235,209,200,,สันคอ,218,200,196,226,235,209,180
สามชั้นTT,,สามชั้น,154,165,,218,249,192,200,,สามชั้น,154,135,166,210,225,193,180
ซี่โครงแผ่นTT,,ซี่โครง,130,127,,171,158,158,160,,ซี่โครง,125,120,139,163,163,155,130
ไหล่บด,,หมูบด,111,140,,143,138,139,160,,หมูบด,125,120,143,133,138,139,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,78,70,,93,,95,90,,ขาหมู,78,75,75,90,90,92,95
,,,,,,,,,,,,,,,,,,
