,,สภาวะราคาของชิ้นส่วนหลัก Wk8 (24.2.65 - 2.3.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,125,122,122,133/127P*,155/138P,129,170,,เนื้อสะโพก,126,136,130,138,138,129,150
ไหล่TT,,เนื้อไหล่,118,117,118,133/127P*,155/138P,128,170,,เนื้อไหล่,119,132,125,138,135,125,140
สันนอกTT,,สันนอก,125,130,132,160,193,155,160,,สันนอก,126,146,150,193,193,155,160
สันในTT,,สันใน,145,130,137,,,,160,,สันใน,146,155,140,198,190,195,180
สันคอTT,,สันคอ,226,160,166,229,232,222,180,,สันคอ,224,196,177,232,232,219,200
สามชั้นTT,,สามชั้น,155,155,166,211/201P*,225,195,190,,สามชั้น,155,166,170,222,225,195,180
ซี่โครงแผ่นTT,,ซี่โครง,120,130,120,166/158P*,171,158,150,,ซี่โครง,120,139,140,188,171,167,150
ไหล่บด,,หมูบด,100,,,133/127P*,170,129,,,หมูบด,109,110,100,170,170,129,110
ขาหลังเผาแบ่งคากิ,,ขาหมู,62,60,78,90/86P*,100,87,90,,ขาหมู,62,63,60,,,80,70
,,,,,,P* = ซื้อ3กิโลขึ้นไป,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,125,137,135,138,140,129,160,,เนื้อสะโพก,125,120,,140,135,129,130
ไหล่TT,,เนื้อไหล่,118,135,135,138,140,128,150,,เนื้อไหล่,122,118,,135,133,128,130
สันนอกTT,,สันนอก,125,145,150,177,201,156,160,,สันนอก,135,135,,150,145,137,140
สันในTT,,สันใน,140,150,150,189,185,180,160,,สันใน,135,135,,165,165,161,140
สันคอTT,,สันคอ,210,200,200,260,232,222,160,,สันคอ,180,170,,205,200,194,160
สามชั้นTT,,สามชั้น,150,175,170,208,225,198,170,,สามชั้น,155,140,,180,175,171,160
ซี่โครงแผ่นTT,,ซี่โครง,120,120,150,171,171,148,160,,ซี่โครง,140,135,,160,160,157,150
ไหล่บด,,หมูบด,105,130,150,141,170,129,120,,หมูบด,125,120,,142,140,135,130
ขาหลังเผาแบ่งคากิ,,ขาหมู,60,85,87,89,100,86,80,,ขาหมู,80,75,,,,82,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,126,128,143,138,159,129,170,,เนื้อสะโพก,125,135,135,138,155,129,170
ไหล่TT,,เนื้อไหล่,117,123,138,138,,128,140,,เนื้อไหล่,115,130,130,138,155,129,170
สันนอกTT,,สันนอก,125,145,152,193,201,139,170,,สันนอก,126,140,138,193,193,152,170
สันในTT,,สันใน,125,145,143,259,,,170,,สันใน,127,145,153,198,,171,180
สันคอTT,,สันคอ,190,190,205,232,232,210,180,,สันคอ,189,195,195,232,223,219,190
สามชั้นTT,,สามชั้น,151,193,172,222,225,164,180,,สามชั้น,151,140,160,222,199,191,170
ซี่โครงแผ่นTT,,ซี่โครง,116,155,,,171,139,170,,ซี่โครง,117,128,124,188,171,157,140
ไหล่บด,,หมูบด,103,150,107,170,186,139,160,,หมูบด,101,135,125,170,163,140,130
ขาหลังเผาแบ่งคากิ,,ขาหมู,70,,,100,100,90,,,ขาหมู,65,73,67,,,89,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
สะโพกTT,,เนื้อสะโพก,123,140,,138,155,129,148,,เนื้อสะโพก,122,120,136,155,155,129,150
ไหล่TT,,เนื้อไหล่,118,135,,138,155,128,145,,เนื้อไหล่,118,115,132,,,128,150
สันนอกTT,,สันนอก,123,153,,193,193,155,155,,สันนอก,123,120,146,193,195,139,160
สันในTT,,สันใน,142,153,,259,0,208,155,,สันใน,140,130,138,259,224,180,170
สันคอTT,,สันคอ,195,170,,232,223,217,185,,สันคอ,190,180,196,232,232,221,180
สามชั้นTT,,สามชั้น,135,170,,222,225,225,180,,สามชั้น,155,160,166,222,219,195,180
ซี่โครงแผ่นTT,,ซี่โครง,125,130,,171,171,157,130,,ซี่โครง,120,115,139,171,165,156,130
ไหล่บด,,หมูบด,111,150,,170,170,180,140,,หมูบด,118,120,143,170,165,129,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,73,70,,100,100,95,80,,ขาหมู,83,75,75,100,95,94,95
,,,,,,,,,,,,,,,,,,
