สภาวะราคาของชิ้นส่วนหลัก Wk3 (20-26.1.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,BKK,,,,,,,,รายการ,EST (ชลบุรี),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
เนื้อสะโพก,180,160,168,185(Pro139),185,185,170,,เนื้อสะโพก,180,160,165,190,185,185,170
เนื้อไหล่,174,150,164,185,185,184,170,,เนื้อไหล่,178,150,160,180,175,177,165
สันนอก,185,170,178,219,219,214,180,,สันนอก,185,170,178,220,219,218,180
สันใน,203,160,177,,,,190,,สันใน,194,160,175,230,225,229,180
สันคอ,239,190,212,243,243,241,190,,สันคอ,239,190,215,230,231,245,190
สามชั้น,220,190,214,248,248,245,210,,สามชั้น,224,190,200,273,248,250,200
ซี่โครง,175,150,164,182,182,181,160,,ซี่โครง,175,150,165,190,165,183,155
หมูบด,149,,,199,199,194,150,,หมูบด,162,160,160,219,199,199,170
ขาหมู,93,90,105,113,113,107,100,,ขาหมู,94,85,85,,113,115,100
,,,,,,,,,,,,,,,,
รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสด
เนื้อสะโพก,175,160,180,204,200,185,220,,เนื้อสะโพก,170,165,,195,190,185,175
เนื้อไหล่,170,150,176,204,200,184,180,,เนื้อไหล่,164,162,,192,188,184,180
สันนอก,180,170,190,220,219,214,220,,สันนอก,185,180,,210,210,202,190
สันใน,200,160,190,235,234,228,220,,สันใน,185,182,,220,215,209,190
สันคอ,239,190,240,245,243,241,220,,สันคอ,220,214,,23,230,229,200
สามชั้น,220,190,210,260,260,250,220,,สามชั้น,205,200,,233,230,226,220
ซี่โครง,172,150,186,182,182,175,170,,ซี่โครง,170,168,,200,195,184,180
หมูบด,176,155,187,199,189,194,200,,หมูบด,170,170,,200,200,200,180
ขาหมู,89,90,98,113,110,107,105,,ขาหมู,90,90,,115,110,105,100
,,,,,,,,,,,,,,,,
รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
เนื้อสะโพก,184,165,183,185,185,185,200,,เนื้อสะโพก,182,165,165,204,185,185,195
เนื้อไหล่,181,160,180,185,185,184,180,,เนื้อไหล่,179,160,160,204,185,185,195
สันนอก,180,175,190,219,215,216,210,,สันนอก,179,175,175,220,219,219,230
สันใน,180,175,185,,,232,210,,สันใน,180,160,165,229,,220,220
สันคอ,245,208,243,243,243,245,230,,สันคอ,246,205,235,267,243,245,230
สามชั้น,219,190,215,248,,243,230,,สามชั้น,218,200,200,264,248,237,230
ซี่โครง,174,170,185,,179,185,160,,ซี่โครง,175,155,150,,182,185,190
หมูบด,189,165,149,199,,193,180,,หมูบด,188,165,165,,199,198,185
ขาหมู,93,85,119,113,113,111,100,,ขาหมู,90,85,80,,,108,100
,,,,,,,,,,,,,,,,
รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสด
เนื้อสะโพก,181,172,180,209,185,185,180,,เนื้อสะโพก,182,170,172,185,185,185,200
เนื้อไหล่,178,170,175,209,185,184,175,,เนื้อไหล่,177,165,168,,,184,190
สันนอก,192,190,190,215,229,211,190,,สันนอก,188,180,174,219,219,212,210
สันใน,195,190,178,240,229,240,190,,สันใน,195,190,174,239,229,229,220
สันคอ,244,210,240,265,243,245,230,,สันคอ,239,230,230,243,243,245,250
สามชั้น,229,215,210,260,248,245,230,,สามชั้น,220,220,218,248,248,241,250
ซี่โครง,174,160,185,190,182,180,170,,ซี่โครง,170,170,162,182,182,179,200
หมูบด,169,160,ไม่มี,199,199,197,180,,หมูบด,184,170,170,199,194,199,200
ขาหมู,107,100,110,113,113,115,120,,ขาหมู,100,90,86,113,113,118,129
