,,สภาวะราคาของชิ้นส่วนหลัก Wk9 (3-9.3.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,125,125,124,133,138,129,160,,เนื้อสะโพก,127,127,125,135,138,129,135
ไหล่TT,,เนื้อไหล่,118,120,120,133,138,128,160,,เนื้อไหล่,120,115,125,130,132,125,130
สันนอกTT,,สันนอก,125,130,134,159,165,149,160,,สันนอก,127,120,125,195,193,149,140
สันในTT,,สันใน,145,132,139,,,,160,,สันใน,142,142,138,200,198,195,180
สันคอTT,,สันคอ,226,200,170,226,235,219,170,,สันคอ,221,175,196,230,232,219,200
สามชั้นTT,,สามชั้น,150,160,166,210,225,190,180,,สามชั้น,152,150,155,225,225,195,180
ซี่โครงแผ่นTT,,ซี่โครง,120,130,120,163,166,155,145,,ซี่โครง,121,115,120,170,166,155,150
ไหล่บด,,หมูบด,100,,,133,138,129,,,หมูบด,107,100,99,135,138,129,120
ขาหลังเผาแบ่งคากิ,,ขาหมู,65,70,78,90,69P,87,90,,ขาหมู,67,65,63,,,103,75
,,,,,,,P* = ซื้อ3กิโลขึ้นไป,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,125,130,125,139,138,129,160,,เนื้อสะโพก,125,116,,138,134,129,130
ไหล่TT,,เนื้อไหล่,118,125,125,138,138,129,160,,เนื้อไหล่,122,114,,136,132,128,130
สันนอกTT,,สันนอก,125,140,150,158,165,147,170,,สันนอก,135,135,,150,145,172,140
สันในTT,,สันใน,140,140,150,178,180,178,170,,สันใน,135,135,,180,175,179,140
สันคอTT,,สันคอ,210,180,205,249,232,219,170,,สันคอ,175,168,,205,200,203,160
สามชั้นTT,,สามชั้น,150,160,166,200,225,195,180,,สามชั้น,155,140,,185,175,197,160
ซี่โครงแผ่นTT,,ซี่โครง,120,130,150,163,166,151,160,,ซี่โครง,140,135,,165,160,155,150
ไหล่บด,,หมูบด,110,125,139,129,138,129,120,,หมูบด,125,116,,142,140,135,130
ขาหลังเผาแบ่งคากิ,,ขาหมู,59,80,80,86,90,76,80,,ขาหมู,80,75,,,,95,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
