,,สภาวะราคาของชิ้นส่วนหลัก Wk21 (26.5.65 - 1.6.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,172,167,166,184,175P*/184,178,200,,เนื้อสะโพก,174,172,174,190,175,178,190
ไหล่TT,,เนื้อไหล่,169,160,162,184,175P*/184,177,200,,เนื้อไหล่,171,166,170,185,175,175,190
สันนอกTT,,สันนอก,177,167,174,213,213,206,200,,สันนอก,179,179,184,200,212,198,200
สันในTT,,สันใน,183,174,171,265,258,226,200,,สันใน,185,174,176,230,230,226,200
สันคอTT,,สันคอ,220,233,199,270,270,250,200,,สันคอ,222,230,234,280,275,253,230
สามชั้นTT,,สามชั้น,197,192,186,255,255,235,210,,สามชั้น,199,195,200,250,255,237,230
ซี่โครงแผ่นTT,,ซี่โครง,167,151,150,187,187,180,160,,ซี่โครง,169,170,171,195,214,183,200
คอหมูย่างTT,,คอหมูย่าง,280,282,283,,,,270,,คอหมูย่าง,278,310,250,300,,307,250
ไหล่บด,,หมูบด,163,,,195,186P*/195,189,150,,หมูบด,159,166,,,186,186,170
ขาหลังเผาแบ่งคากิ,,ขาหมู,100,,,113,113,110,,,ขาหมู,,,,,,118,
หัวติดลิ้น,,หัวติดลิ้น,63,61,63,,,,,,หัวติดลิ้น,65,,64,,,,75
เครื่องในชุด(หมู),,เครื่องในชุด,77,75,80,,,,,,เครื่องในชุด,78,,,,,,
,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,75,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,
ขาหน้าTT,,ขาหน้า,83,,,,,,,,ขาหน้า,,90,85,,112,111,90
ขาหน้าเผาTT,,ขาหน้าเผา,86,83,91,,,,100,,ขาหน้าเผา,88,,,,,,
ขาหลังTT,,ขาหลัง,95,,,,,,,,ขาหลัง,,100,91,,,116,110
ขาหลังเผาTT,,ขาหลังเผา,99,96,101,,,,100,,ขาหลังเผา,98,,,,,,
มันสันหลังTT,,มันสันหลัง,79,,,,,,,,มันสันหลัง,81,,,,,,90
มันแข็งTT,,มันแข็ง,76,81,89,,,,,,มันแข็ง,78,95,88,,,,80
เศษมันTT,,เศษมัน         ,67,,58,,,,,,เศษมัน         ,69,,77,,,,75
หนังสันหลังTT,,หนังสันหลัง,73,,78,,,,,,หนังสันหลัง,75,,76,,,,80
หนังสะโพก,,หนังสะโพก,70,,,,,,,,หนังสะโพก,71,,,,,,85
หนังหมูรวมTT,,หนังหมูรวม,66,,,,,,,,หนังหมูรวม,66,,,,,84,80
กระดูกซุปTT,,กระดูกซุป,58,60,50,,,,70,,กระดูกซุป,60,,74,,87,83,65
กระดูกอ่อนTT,,กระดูกอ่อน,163,,169,,,,,,กระดูกอ่อน,,,,,,,200
กระดูกข้อTT,,กระดูกข้อ(คาตั๊ง) ,10,,,,,,,,กระดูกข้อ(คาตั๊ง) ,12,15,,,,43,30
มันเปลวTT,,มันเปลว,52,,,,,,,,มันเปลว,54,56,57,,,,65
มันท้องTT,,มันท้อง,57,,,,,,,,มันท้อง,59,,,,,,65
,,"หมายเหตุ : Pro Lotus's ซื้อ 3 กก.ขึ้นไปลด 5% , Pro BigC ซื้อ 3 กิโล",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,172,170,164,193,190,178,180,,เนื้อสะโพก,166,162,,183,180,178,170
ไหล่TT,,เนื้อไหล่,169,170,160,193,190,178,170,,เนื้อไหล่,162,158,,180,178,174,170
