,,สภาวะราคาของชิ้นส่วนหลัก Wk23 (9 - 15.6.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
ขาหน้าเผาTT,,ขาหน้าเผา,94,88,90,,89,,,,ขาหน้าเผา,102,100,,100,98,106,110
ขาหลังTT,,ขาหลัง,103,,102,110,,105,80,,ขาหลัง,104,,,,,,
ขาหลังเผาTT,,ขาหลังเผา,106,95,,112,114,,,,ขาหลังเผา,104,102,,103,100,114,110
มันสันหลังTT,,มันสันหลัง,85,80,,,,,,,มันสันหลัง,,,,,,,
มันแข็งTT,,มันแข็ง,81,74,95,,,105,,,มันแข็ง,86,80,,89,87,86,
เศษมันTT,,เศษมัน         ,72,67,80,,,,,,เศษมัน         ,54,,,,,,
หนังสันหลังTT,,หนังสันหลัง,77,79,85,,,,,,หนังสันหลัง,,,,,,,
หนังสะโพก,,หนังสะโพก,73,76,80,,,,,,หนังสะโพก,,,,,,,
หนังหมูรวมTT,,หนังหมูรวม,67,,68,,,,,,หนังหมูรวม,74,70,,,,80,80
กระดูกซุปTT,,กระดูกซุป,63,59,76,76,84,72,80,,กระดูกซุป,66,62,,80,78,72,75
กระดูกอ่อนTT,,กระดูกอ่อน,168,178,210,199,,187,,,กระดูกอ่อน,165,150,,,,,180
กระดูกข้อTT,,กระดูกข้อ(คาตั๊ง) ,11,15,15,,,44,,,กระดูกข้อ(คาตั๊ง) ,28,22,,35,32,35,30
มันเปลวTT,,มันเปลว,58,59,60,,,,,,มันเปลว,46,36,,,,,30
มันท้องTT,,มันท้อง,63,57,,,,,,,มันท้อง,54,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำภู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,176,170,177,,,177,220,,เนื้อสะโพก,174,172,172,184,184,178,200
ไหล่TT,,เนื้อไหล่,170,167,172,189,187,169,210,,เนื้อไหล่,168,167,166,184,184,178,200
