,,สภาวะราคาของชิ้นส่วนหลัก Wk11 (17-23.3.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,138,135,135,138(P),138,139,160,,เนื้อสะโพก,140,135,140,150,149,139,155
ไหล่TT,,เนื้อไหล่,132,125,131,138(P),138,138,150,,เนื้อไหล่,134,128,135,145,145,135,150
สันนอกTT,,สันนอก,130,134,145,180,176,170,160,,สันนอก,133,150,154,175,155,160,180
สันในTT,,สันใน,144,140,147,259,224,188,170,,สันใน,148,145,146,200,200,199,190
สันคอTT,,สันคอ,225,198,170,236,215,209,185,,สันคอ,227,180,204,230,235,223,200
สามชั้นTT,,สามชั้น,157,165,169,225,225,199,185,,สามชั้น,159,160,174,225,225,195,190
ซี่โครงแผ่นTT,,ซี่โครง,125,125,124,171,171,160,155,,ซี่โครง,126,130,125,180,158,173,150
คอหมูย่างTT,,คอหมูย่าง,255,270,258,,,,290,,คอหมูย่าง,256,230,177,280,280,275,250
ไหล่บด,,หมูบด,114,,,146,138,132,110,,หมูบด,118,115,119,140,139,139,120
ขาหลังเผาแบ่งคากิ,,ขาหมู,75,80,82,98,89,93,90,,ขาหมู,76,70,65,90,90,102,90
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,139,135,140,150,145,140,160,,เนื้อสะโพก,135,125,,145,140,134,140
ไหล่TT,,เนื้อไหล่,132,130,140,145,144,140,160,,เนื้อไหล่,128,122,,142,140,139,140
สันนอกTT,,สันนอก,131,140,155,170,165,155,170,,สันนอก,138,135,,160,160,165,140
สันในTT,,สันใน,144,155,160,180,182,180,170,,สันใน,138,135,,165,165,181,140
สันคอTT,,สันคอ,224,205,210,249,235,213,170,,สันคอ,170,165,,210,200,207,160
สามชั้นTT,,สามชั้น,158,170,205,217,230,205,180,,สามชั้น,155,148,,185,175,203,160
ซี่โครงแผ่นTT,,ซี่โครง,126,125,150,165,163,169,160,,ซี่โครง,145,140,,165,160,170,150
คอหมูย่างTT,,คอหมูย่าง,264,262,260,275,275,277,263,,คอหมูย่าง,220,212,,260,254,249,
ไหล่บด,,หมูบด,121,125,139,135,145,144,120,,หมูบด,130,127,,150,145,146,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,73,82,87,90,72,92,80,,ขาหมู,86,78,,97,95,95,90
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,139,135,144,142,142,139,170,,เนื้อสะโพก,139,135,135,138,138,138,170
ไหล่TT,,เนื้อไหล่,134,128,138,142,142,138,140,,เนื้อไหล่,133,130,130,138,138,138,170
สันนอกTT,,สันนอก,141,137,152,176,155,151,170,,สันนอก,139,140,135,193,176,147,170
สันในTT,,สันใน,141,137,140,,,194,170,,สันใน,140,140,135,198,,169,180
สันคอTT,,สันคอ,195,195,205,215,223,212,200,,สันคอ,194,188,189,232,215,219,200
สามชั้นTT,,สามชั้น,156,160,170,218,225,192,200,,สามชั้น,156,152,150,222,199,187,170
ซี่โครงแผ่นTT,,ซี่โครง,125,130,145,171,158,168,130,,ซี่โครง,127,125,125,188,171,159,140
คอหมูย่างTT,,คอหมูย่าง,205,250,,,,283,,,คอหมูย่าง,200,225,200,,,280,210
ไหล่บด,,หมูบด,120,,108,,159,139,170,,หมูบด,110,105,105,170,138,135,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,75,65,,,89,87,80,,ขาหมู,70,70,68,,,89,85
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
สะโพกTT,,เนื้อสะโพก,131,132,,149,138,135,160,,เนื้อสะโพก,139,135,140,142,133,139,160
ไหล่TT,,เนื้อไหล่,126,127,,138,138,134,160,,เนื้อไหล่,132,125,136,,,138,160
สันนอกTT,,สันนอก,131,139,,176,155,152,170,,สันนอก,135,140,150,176,155,151,170
สันในTT,,สันใน,143,140,,178,,196,170,,สันใน,140,170,142,259,224,190,170
สันคอTT,,สันคอ,217,165,,253,235,209,200,,สันคอ,224,200,200,215,229,224,180
สามชั้นTT,,สามชั้น,154,165,,218,249,192,200,,สามชั้น,158,165,170,218,225,193,180
ซี่โครงแผ่นTT,,ซี่โครง,134,127,,,158,164,160,,ซี่โครง,130,120,143,171,158,158,130
คอหมูย่างTT,,คอหมูย่าง,230,,,253,235,275,,,คอหมูย่าง,234,220,228,279,259,274,200
ไหล่บด,,หมูบด,118,140,,139,138,139,160,,หมูบด,132,140,147,139,143,139,140
ขาหลังเผาแบ่งคากิ,,ขาหมู,78,77,,,,95,90,,ขาหมู,83,80,75,93,89,95,95
,,,,,,,,,,,,,,,,,,
