สภาวะราคาของชิ้นส่วนหลัก Wk5 (3 - 9.2.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
เนื้อสะโพก,158,153,148,165,180,165,150,,เนื้อสะโพก,158,150,155,185,180,165,180
เนื้อไหล่,155,145,144,165,180,164,150,,เนื้อไหล่,155,146,150,180,175,163,180
สันนอก,164,163,158,201,213,195,150,,สันนอก,163,160,160,215,213,195,190
สันใน,181,150,157,,,,150,,สันใน,178,152,160,230,230,229,190
สันคอ,239,185,192,201,223,232,180,,สันคอ,230,185,195,250,223,245,200
สามชั้น,191,180,194,231,243,221,190,,สามชั้น,190,180,190,245,243,245,210
ซี่โครง,161,150,138,182,182,170,150,,ซี่โครง,160,150,155,190,182,180,180
หมูบด,128,,,186,189,181,130,,หมูบด,148,140,145,190,199,179,180
ขาหมู,87,80,87,104,110,101,90,,ขาหมู,90,80,85,115,100,123,100
,,,,,,,,,,,,,,,,
รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
เนื้อสะโพก,154,153,168,199,180,170,180,,เนื้อสะโพก,156,145,,172,168,165,150
เนื้อไหล่,149,145,164,209,245,169,170,,เนื้อไหล่,152,140,,170,166,164,150
สันนอก,160,163,178,218,215,202,190,,สันนอก,165,160,,185,182,179,170
สันใน,177,150,178,229,220,215,190,,สันใน,165,160,,198,195,193,170
สันคอ,230,185,228,265,235,229,190,,สันคอ,215,180,,225,215,213,190
สามชั้น,190,180,198,258,235,237,200,,สามชั้น,180,160,,220,215,210,180
ซี่โครง,160,150,176,190,175,182,180,,ซี่โครง,165,140,,185,178,176,160
หมูบด,123,155,175,199,189,185,199,,หมูบด,160,145,,185,172,170,150
ขาหมู,86,90,95,113,105,100,105,,ขาหมู,90,85,,105,100,95,100
,,,,,,,,,,,,,,,,
รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำพู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
เนื้อสะโพก,159,150,160,185,180,182,180,,เนื้อสะโพก,157,165,165,185,180,165,180
เนื้อไหล่,154,145,155,,,169,170,,เนื้อไหล่,152,160,160,185,180,165,180
สันนอก,165,165,170,220,209,216,190,,สันนอก,164,175,175,219,213,205,185
สันใน,165,165,170,220,223,230,190,,สันใน,165,170,165,220,,,185
สันคอ,230,195,225,268,242,245,200,,สันคอ,232,220,220,235,223,213,200
สามชั้น,190,180,195,255,245,217,190,,สามชั้น,201,195,198,236,242,217,190
ซี่โครง,150,150,160,190,182,175,150,,ซี่โครง,189,165,150,187,182,175,170
หมูบด,135,,,199,199,,,,หมูบด,130,125,128,185,199,170,180
ขาหมู,83,75,80,,110,98,85,,ขาหมู,81,80,80,,,98,85
,,,,,,,,,,,,,,,,
รายการ,UNO (เชียงใหม่),,,,,,,,รายการ,LNO (พิษณุโลก),,,,,,
สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดเมืองใหม่,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดร่วมใจ1
เนื้อสะโพก,162,163,,180,180,165,190,,เนื้อสะโพก,160,160,160,180,180,165,200
เนื้อไหล่,158,165,,180,180,164,190,,เนื้อไหล่,155,155,156,,,164,190
สันนอก,169,180,,213,213,199,200,,สันนอก,165,170,162,213,213,188,200
สันใน,180,185,,259,,229,190,,สันใน,180,175,162,259,224,205,230
สันคอ,235,185,,213,223,237,200,,สันคอ,235,220,222,213,223,236,230
สามชั้น,201,185,,243,243,235,215,,สามชั้น,200,190,202,243,229,227,230
ซี่โครง,155,150,,182,182,185,170,,ซี่โครง,155,130,140,182,182,171,180
หมูบด,151,155,,199,199,199,180,,หมูบด,155,150,150,199,195,178,180
ขาหมู,90,80,,110,110,110,115,,ขาหมู,85,80,80,113,110,95,100
