,,สภาวะราคาของชิ้นส่วนหลัก Wk18 (5-11.5.65),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,BKK (เขตบางกะปิ),,,,,,,,รายการ,EST (ชลบุรี),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสดบางกะปิ,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดใหม่ชลบุรี
สะโพกTT,,เนื้อสะโพก,160,150,152,169,169,157,180,,เนื้อสะโพก,161,159,164,175,170,165,180
ไหล่TT,,เนื้อไหล่,157,145,148,169,169,156,180,,เนื้อไหล่,158,154,160,170,165,165,180
สันนอกTT,,สันนอก,165,152,161,195,189,186,180,,สันนอก,166,164,168,190,190,182,190
สันในTT,,สันใน,162,154,161,265,235,207,180,,สันใน,163,160,164,194,195,215,200
สันคอTT,,สันคอ,232,211,186,250,250,243,185,,สันคอ,233,219,224,272,262,243,220
สามชั้นTT,,สามชั้น,185,178,181,245,245,199,200,,สามชั้น,186,180,188,229,245,221,200
ซี่โครงแผ่นTT,,ซี่โครง,150,130,138,185,185,173,170,,ซี่โครง,151,148,150,189,195,180,190
คอหมูย่างTT,,คอหมูย่าง,265,270,269,,,,290,,คอหมูย่าง,266,250,230,290,300,292,250
ไหล่บด,,หมูบด,140,,,179,169,165,150,,หมูบด,136,135,140,180,199,175,150
ขาหลังเผาแบ่งคากิ,,ขาหมู,95,,,99,99P,103,,,ขาหมู,,,,,,112,
หัวติดลิ้น,,หัวติดลิ้น,53,48,55,,,,,,หัวติดลิ้น,54,55,56,,,,70
เครื่องในชุด(หมู),,เครื่องในชุด,72,64,72,,,,,,เครื่องในชุด,71,,,,,,
,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,70,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,
ขาหน้าTT,,ขาหน้า,77,,,,,,,,ขาหน้า,78,75,74,,105,104,85
ขาหน้าเผาTT,,ขาหน้าเผา,80,80,82,,,,95,,ขาหน้าเผา,81,,,,,,
ขาหลังTT,,ขาหลัง,90,,,,,,,,ขาหลัง,88,88,77,,110,109,90
ขาหลังเผาTT,,ขาหลังเผา,93,82,94,,,,95,,ขาหลังเผา,91,,,,,,
มันสันหลังTT,,มันสันหลัง,78,,,,,,,,มันสันหลัง,73,,,,,,80
มันแข็งTT,,มันแข็ง,75,76,78,,,,,,มันแข็ง,72,75,70,,,,80
เศษมันTT,,เศษมัน         ,61,,50,,,,,,เศษมัน         ,62,,69,,,,65
หนังสันหลังTT,,หนังสันหลัง,73,,69,,,,,,หนังสันหลัง,73,,76,,,,80
หนังสะโพก,,หนังสะโพก,69,,,,,,,,หนังสะโพก,68,,,,,,80
หนังหมูรวมTT,,หนังหมูรวม,60,,,,,,,,หนังหมูรวม,59,75,60,,,81,80
กระดูกซุปTT,,กระดูกซุป,49,50,42,,,,70,,กระดูกซุป,50,,66,,84,83,60
กระดูกอ่อนTT,,กระดูกอ่อน,156,,159,,,,,,กระดูกอ่อน,,,,,,,200
กระดูกข้อTT,,กระดูกข้อ(คาตั๊ง) ,9,,,,,,,,กระดูกข้อ(คาตั๊ง) ,11,,,,,,30
มันเปลวTT,,มันเปลว,45,,,,,,,,มันเปลว,45,,47,,,,50
มันท้องTT,,มันท้อง,50,,,,,,,,มันท้อง,50,,,,,,50
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,CTW (สระบุรี),,,,,,,,รายการ,SOT (นครศรีธรรมราช),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดสืบศิริ,,,ซีพี,เบทาโกร,,Lotus's,Big C,Makro,ตลาดสดหัวอิฐ
สะโพกTT,,เนื้อสะโพก,160,145,150,177,158,165,160,,เนื้อสะโพก,157,150,,168,166,165,160
ไหล่TT,,เนื้อไหล่,158,138,150,173,158,175,160,,เนื้อไหล่,153,148,,166,162,163,160
สันนอกTT,,สันนอก,165,143,160,199,179,172,170,,สันนอก,162,154,,170,165,167,165
สันในTT,,สันใน,162,145,165,195,182,172,170,,สันใน,162,155,,180,180,177,165
สันคอTT,,สันคอ,234,222,235,266,275,247,180,,สันคอ,190,180,,217,215,214,175
สามชั้นTT,,สามชั้น,185,167,175,225,228,221,190,,สามชั้น,188,178,,198,198,197,180
ซี่โครงแผ่นTT,,ซี่โครง,150,128,155,189,195,173,160,,ซี่โครง,157,150,,170,168,166,155
คอหมูย่างTT,,คอหมูย่าง,250,235,215,312,310,292,160,,คอหมูย่าง,245,225,,280,280,276,
ไหล่บด,,หมูบด,163,140,145,179,165,166,120,,หมูบด,155,150,,165,165,163,160
ขาหลังเผาแบ่งคากิ,,ขาหมู,93,90,90,99,100,90,89,,ขาหมู,91,85,,100,96,93,95
หัวติดลิ้น,,หัวติดลิ้น,54,50,55,,,,60,,หัวติดลิ้น,56,54,,,,,70
เครื่องในชุด(หมู),,เครื่องในชุด,70,65,70,,,,,,เครื่องในชุด,60,,,,,,
,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,,,เครื่องในลวกรวมหั่นชิ้น,,,,,,,
ขาหน้าTT,,ขาหน้า,77,62,70,,,89,80,,ขาหน้า,88,,,,,,
ขาหน้าเผาTT,,ขาหน้าเผา,80,65,73,,89,,,,ขาหน้าเผา,90,84,,96,93,89,95
ขาหลังTT,,ขาหลัง,87,75,75,99,,,80,,ขาหลัง,90,,,,,,
ขาหลังเผาTT,,ขาหลังเผา,90,80,95,,,,,,ขาหลังเผา,92,88,,98,94,93,95
มันสันหลังTT,,มันสันหลัง,72,72,68,,,,,,มันสันหลัง,,,,,,,
มันแข็งTT,,มันแข็ง,70,68,65,,,97,,,มันแข็ง,70,65,,87,85,82,
เศษมันTT,,เศษมัน         ,60,55,62,,,,,,เศษมัน         ,48,,,,,,
หนังสันหลังTT,,หนังสันหลัง,73,73,75,,,,,,หนังสันหลัง,,65,,,,,
หนังสะโพก,,หนังสะโพก,68,73,71,,,,,,หนังสะโพก,,,,,,,
หนังหมูรวมTT,,หนังหมูรวม,59,55,53,,,,,,หนังหมูรวม,65,,,,,77,80
กระดูกซุปTT,,กระดูกซุป,49,47,65,65,84,66,80,,กระดูกซุป,55,,,75,74,68,70
กระดูกอ่อนTT,,กระดูกอ่อน,154,,165,195,,187,,,กระดูกอ่อน,150,148,,,,,165
กระดูกข้อTT,,กระดูกข้อ(คาตั๊ง) ,10,,,,,,,,กระดูกข้อ(คาตั๊ง) ,20,15,,32,30,27,30
มันเปลวTT,,มันเปลว,45,30,45,,,,,,มันเปลว,35,30,,,,,30
มันท้องTT,,มันท้อง,50,42,50,,,,,,มันท้อง,38,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,รายการ,UNE (ขอนแก่น),,,,,,,,รายการ,LNE (นครราชสีมา),,,,,,
,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,,,สินค้า,ค้าส่ง,,,ค้าปลีก,,,
,,,ซีพี,เบทาโกร,ไทยฟู้ดส์,Lotus's,Big C,Makro,ตลาดบางลำภู,,,ซีพี,เบทาโกร,RMC,Lotus's,Big C,Makro,ตลาดย่าโม
สะโพกTT,,เนื้อสะโพก,164,155,168,169,152,158,200,,เนื้อสะโพก,163,160,160,169,177,165,200
ไหล่TT,,เนื้อไหล่,160,150,163,,,159,190,,เนื้อไหล่,158,155,155,169,177,165,200
สันนอกTT,,สันนอก,169,160,176,195,195,167,210,,สันนอก,169,173,169,195,189,175,200
สันในTT,,สันใน,171,160,180,,,,200,,สันใน,171,165,166,265,192,202,200
สันคอTT,,สันคอ,225,220,227,,,230,210,,สันคอ,218,215,215,250,275,235,230
